,Unnamed: 0,placeID,name,vicinity,lat,lng,types,place_type_1,place_type_2
17999,17999,ChIJOYNk3rnSJIgRachQ6DerPmM,John A Parks Co Inc,"49 West Willis Street, Detroit",42.351110799999994,-83.06160009999999,"['insurance_agency', 'point_of_interest', 'establishment']",[,'
18000,18000,ChIJ3Rj337nSJIgRnY_6W3qAgCI,DS Coverage,"49 West Willis Street, Detroit",42.351036500000006,-83.0615911,"['insurance_agency', 'point_of_interest', 'establishment']",[,'
18002,18002,ChIJi82DCLjSJIgRVh34r-ayWs0,The Great Lakes Coffee Roasting Company,"3965 Woodward Avenue, Detroit",42.350335,-83.06022899999998,"['cafe', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",[,'
18005,18005,ChIJVd4y1bnSJIgR1zSVu0dRSug,The Majestic Theatre,"4140 Woodward Avenue, Detroit",42.351442999999996,-83.0601082,"['point_of_interest', 'establishment']",[,'
18007,18007,ChIJwSS-wbnSJIgReTgatzEc9_Q,McDonald's,"4235 Woodward Avenue, Detroit",42.35204410000001,-83.06150229999999,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",[,'
18012,18012,ChIJVd4y1bnSJIgRF1MYN7yMy50,Magic Stick,"4120-4140 Woodward Avenue, Detroit",42.351183899999995,-83.05988649999998,"['point_of_interest', 'establishment']",[,'
18015,18015,ChIJeX4MQyktO4gRCb0hlZ14760,Metro Times,"30 East Canfield Street, Detroit",42.352785,-83.060964,"['point_of_interest', 'establishment']",[,'
18016,18016,ChIJVd4y1bnSJIgRkprwnSH-ukY,Cardtronics ATM,"4120 Woodward Avenue, Detroit",42.3511453,-83.06009420000001,"['atm', 'finance', 'point_of_interest', 'establishment']",[,'
18018,18018,ChIJVd4y1bnSJIgRZzTakau0PS4,Garden Bowl,"4120 Woodward Avenue, Detroit",42.351140799999996,-83.06012170000001,"['bowling_alley', 'bar', 'point_of_interest', 'establishment']",[,'
18020,18020,ChIJD0JdKrjSJIgR00rWlRrKges,Majestic Cafe,"4140 Woodward Avenue, Detroit",42.351476700000006,-83.06012309999998,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",[,'
18028,18028,ChIJZU9I1bnSJIgR83EFWDR3xXI,"Grace Harper Florist, Inc.","4135 Woodward Avenue, Detroit",42.351125200000006,-83.06064429999998,"['florist', 'store', 'point_of_interest', 'establishment']",[,'
18029,18029,ChIJM9R7uLnSJIgRDXVNBHbBOKk,JVS,"4250 Woodward Avenue, Detroit",42.35262710000001,-83.0611105,"['point_of_interest', 'establishment']",[,'
18031,18031,ChIJszH6FrnSJIgR2sALHvkwLCg,Quinn Evans Architects,"4219 Woodward Avenue #301, Detroit",42.35177399999999,-83.06136599999998,"['point_of_interest', 'establishment']",[,'
18032,18032,ChIJzW7oMEzPJIgRzJkG7ZGiexE,Liebler Mcdonald Communication,"4421 Woodward Avenue, Detroit",42.352785,-83.0621311,"['point_of_interest', 'establishment']",[,'
18043,18043,ChIJlz5jrrnSJIgR595s7MEaXBg,Wayne State University Physician Group,"50 East Canfield Street, Detroit",42.3528768,-83.0606632,"['health', 'point_of_interest', 'establishment']",[,'
18044,18044,ChIJQVpI9CgtO4gRD3tLbTsolQk,AIA Michigan,"4219 Woodward Avenue suite 205, Detroit",42.351730999999994,-83.061375,"['point_of_interest', 'establishment']",[,'
18046,18046,ChIJhRAUfLfSJIgRdQQEHTaj8hg,ATM (PNC Bank),"4111 Woodward Avenue, Detroit",42.3507234,-83.0605204,"['atm', 'finance', 'point_of_interest', 'establishment']",[,'
